Selling Price,Transaction Date,Postcode
2325000,2025-02-11,SW3 2BP
2350000,2025-01-08,SW3 2HH
750000,2025-01-10,SW3 2JY
1400000,2025-01-13,SW3 2LB
240000,2025-01-28,SW3 3ER
1875000,2025-01-27,SW3 4BT
3100000,2025-01-03,SW3 4DS
1250000,2025-02-03,SW3 4TB
1075000,2025-02-03,SW3 4TD
565000,2025-02-06,SW3 5BL
661000,2025-01-13,SW3 5HA
1925000,2025-02-12,SW3 6BS
2985000,2025-01-31,SW7 1HY
1279000,2025-01-13,SW7 3RW
550000,2025-01-07,SW7 4ND
875000,2025-01-17,SW7 4ND
725000,2025-01-17,SW7 4QA
1975000,2025-01-20,SW7 4QP
1200000,2025-01-07,SW7 4XL
930000,2025-01-17,SW7 5LT
3025000,2025-01-15,SW7 5PN
2150000,2025-01-31,SW7 5PU
527000,2025-01-14,W8 4AD
895000,2025-02-04,W8 4AN
620000,2025-01-15,W8 5JE
1875000,2025-01-09,W8 5PP
1338000,2025-01-15,W8 5QW
710000,2025-01-17,W8 6AB
625000,2025-02-03,W8 6EF
350000,2025-02-03,W8 6JN
710000,2025-01-24,W8 6JQ
1200000,2025-01-17,W8 6PA
4300000,2025-01-08,W8 6QX
5000000,2025-01-31,W8 6UZ
4400000,2025-02-12,W8 7HL
3100000,2025-02-14,W8 7PA
13950000,2025-02-13,W8 7QQ
3100000,2025-01-24,W8 7SP
595000,2025-01-31,NW1 0HA
395000,2025-01-03,NW1 0JY
625000,2025-01-10,NW1 0PB
100000000,2025-01-31,NW1 0QA
100000000,2025-01-31,NW1 0QA
100000000,2025-01-31,NW1 0QA
100000000,2025-01-31,NW1 0QA
675000,2025-01-24,NW1 1HN
657000,2025-02-14,NW1 2AR
840000,2025-01-31,NW1 4EB
900000,2025-02-05,NW1 4RD
750000,2025-01-08,NW1 5EH
725000,2025-01-10,NW1 6DX
420000,2025-01-17,NW1 6TB
727000,2025-01-03,NW1 7EP
800000,2025-02-14,NW1 7JY
465000,2025-02-03,NW1 7LL
475000,2025-01-10,NW1 7SY
2520000,2025-02-12,NW1 8HX
2075000,2025-01-14,NW1 8YS
1525000,2025-01-31,NW1 9BU
196250,2025-01-17,NW1 9DQ
450000,2025-01-31,NW1 9LR
786000,2025-02-05,NW1 9TN
