ZooplaListingId,House Address,Sales Agent Name,Asking Price,Area (sq ft or sq m)
68694545,"Walton Street, London SW3",Ashdown Marks,"£3,300,000","1,345 sq. ft"
68692438,"Walton Street, Chelsea SW3",The London Broker,"£3,300,000","1,640 sq. ft"
67510462,"Walton Street, Chelsea SW3",Maskells,"£725,000",517 sq. ft
69470964,"Walton Street, London SW3",Dexters - Chelsea,"£1,050,000",N/A
69500857,"First Street, Chelsea, London SW3",Knight Frank - Knightsbridge Sales,"£5,400,000","2,773 sq. ft"
69492570,"Sloane Court West, London SW3",John D Wood & Co. - Cadogan Street Sales,"£2,000,000","2,110 sq ft"
69276514,"Sloane Court West, London SW3",Ashdown Marks,"£1,795,000",898 sq. ft
68431980,"Sloane Court West, Chelsea, London SW3",John D Wood & Co. - Cadogan Street Sales,"£2,000,000",N/A
68354553,"Sloane Court West, London SW3",John D Wood & Co. - Cadogan Street Sales,"£2,500,000",N/A
61633188,"Sloane Court West, Chelsea SW3",SW Residential,"£2,700,000",N/A
69307145,"Sloane Court West, London SW3",John D Wood & Co. - Cadogan Street Sales,"£1,375,000",N/A
68349413,"Sloane Court West, London SW3",Savills - Knightsbridge,"£1,100,000",689 sq ft
54334830,"Sloane Court West, Chelsea SW3",John D Wood & Co. - Cadogan Street Sales,"£1,100,000",N/A
69473542,"Oakley Street, London SW3",Kinleigh Folkard & Hayward - South Kensington,"£1,800,000",N/A
69038461,"Oakley Street, Chelsea, London SW3",Farrar & Co,"£725,000",450 sq. ft
70027374,"Brechin Place, London SW7",Marsh & Parsons - South Kensington,"£950,000",N/A
69875637,"Kynance Mews, South Kensington SW7",Knight Frank - Chelsea Sales,"£2,700,000","1,416 sq. ft"
69765948,"Cromwell Road, London SW7",Kinleigh Folkard & Hayward - South Kensington,"£1,100,000",N/A
69456659,"Point West, 116 Cromwell Road SW7",Chestertons - South Kensington,"£1,218,000",N/A
67149158,"Point West, Cromwell Road, London SW7",Arcstone Properties Limited,"£470,000",586 sq. ft
67140105,"Point West, London SW7",Hamptons - Kensington Sales,"£480,000",526 sq. ft
46627243,"Cromwell Road, London SW7",Thackerays,"£695,000",870 sq. ft
69300867,"Manson Place, South Kensington, South Kensington, London SW7",Foxtons - South Kensington,"£550,000",372 sq. ft
70015338,"Queen's Gate Terrace, London SW7",Harding Green,"£4,950,000","2,700 sq ft"
68760181,"Queen's Gate Terrace, London SW7",Dexters - South Kensington,"£2,500,000",N/A
69875715,"Queen's Gate Terrace, South Kensington SW7",Knight Frank - Chelsea Sales,"£12,750,000","5,900 sq. ft"
69995001,"Vicarage Gate, Kensington, London W8",Foxtons - Notting Hill,"£1,150,000",859 sq. ft
67704695,"Vicarage Gate, London W8",Marsh & Parsons - Kensington,"£795,000",N/A
69726129,"Lexham Gardens, London W8,",Chancellors - Notting Hill,"£600,000",654 sq. ft
69428522,"Lexham Gardens, Kensington W8",Knightsbridge International Real Estate,"£2,300,000","1,769 sq. ft"
66662096,"Earls Court Road, London W8",Mountgrange Heritage - Kensington,"£550,000",N/A
67722019,Lizmans Terrace W8,Loporto Browne Residential,"£1,095,000",N/A
67709071,"Lizmans Terrace, Earls Court Road W8",Mountgrange Heritage - Kensington,"£1,095,000",963 sq ft
67174335,"Earls Court Road, London W8",Hamptons - Kensington Sales,"£550,000",397 sq. ft
65942363,"Earls Court Road, London W8",Milton Stone,"£550,000",N/A
69979820,"Lexham Gardens, Kensington, London W8",Strutt & Parker - Kensington,"£3,250,000","1,868 sq ft"
69768901,"Lexham Gardens, Kensington, London W8",Russell Simpson - Kensington & Notting Hill,"£1,795,000","1,525 sq. ft"
69641139,"Lexham Gardens, South Kensington W8",Fuller Gilbert,"£584,995",N/A
68039119,"Lexham Gardens, London W8",Marsh & Parsons - Kensington,"£599,000",N/A
67540756,"Lexham Gardens, London W8",Tates,"£695,000",N/A
